semana_referencia,restaurante,categoria,item,unidade_medida,quantidade,preco_unitario_pago_brl,valor_total_brl
2026-07-25,Restaurante A,Bebidas,Agua mineral 500ml,un,45,1.55,69.75
2026-07-25,Restaurante A,Bebidas,Cerveja long neck,un,28,4.02,112.56
2026-07-25,Restaurante A,Bebidas,Refrigerante 2L,un,23,8.21,188.83
2026-07-25,Restaurante A,Carnes,Acem,kg,12.2,30.65,373.93
2026-07-25,Restaurante A,Carnes,Bacon em cubos,kg,21.4,32.26,690.36
2026-07-25,Restaurante A,Carnes,Coxa e sobrecoxa,kg,17.1,12.73,217.68
2026-07-25,Restaurante A,Carnes,File de frango,kg,13.6,18.15,246.84
2026-07-25,Restaurante A,Carnes,Linguica toscana,kg,13.6,24.22,329.39
2026-07-25,Restaurante A,Descartaveis,Embalagem marmitex,un,39,1.13,44.07
2026-07-25,Restaurante A,Descartaveis,Guardanapo pacote,un,43,4.25,182.75
2026-07-25,Restaurante A,Descartaveis,Luva descartavel cx,un,42,26.53,1114.26
2026-07-25,Restaurante A,Hortifruti,Alface crespa,un,30,3.58,107.40
2026-07-25,Restaurante A,Hortifruti,Alho,kg,28.6,32.38,926.07
2026-07-25,Restaurante A,Hortifruti,Batata,kg,15.8,4.89,77.26
2026-07-25,Restaurante A,Hortifruti,Cebola,kg,19.0,4.05,76.95
2026-07-25,Restaurante A,Hortifruti,Tomate,kg,27.9,7.92,220.97
2026-07-25,Restaurante A,Laticinios,Creme de leite,L,22.7,11.79,267.63
2026-07-25,Restaurante A,Laticinios,Leite integral,L,9.1,5.20,47.32
2026-07-25,Restaurante A,Laticinios,Manteiga,kg,22.2,46.25,1026.75
2026-07-25,Restaurante A,Laticinios,Ovos,dz,68,12.50,850.00
2026-07-25,Restaurante A,Laticinios,Queijo mussarela,kg,22.4,40.39,904.74
2026-07-25,Restaurante A,Laticinios,Queijo prato,kg,24.2,37.41,905.32
2026-07-25,Restaurante A,Laticinios,Requeijao,kg,10.1,27.53,278.05
2026-07-25,Restaurante A,Limpeza,Desinfetante 5L,un,51,18.59,948.09
2026-07-25,Restaurante A,Limpeza,Detergente 5L,un,48,20.53,985.44
2026-07-25,Restaurante A,Limpeza,Saco de lixo 100L,un,34,32.42,1102.28
2026-07-25,Restaurante A,Mercearia,Acucar refinado,kg,13.5,4.61,62.24
2026-07-25,Restaurante A,Mercearia,Arroz branco tipo 1,kg,19.0,5.93,112.67
2026-07-25,Restaurante A,Mercearia,Azeite de oliva,L,21.3,42.46,904.40
2026-07-25,Restaurante A,Mercearia,Farinha de trigo,kg,26.7,4.61,123.09
2026-07-25,Restaurante A,Mercearia,Feijao carioca,kg,23.2,7.14,165.65
2026-07-25,Restaurante A,Mercearia,Massa seca,kg,23.6,7.52,177.47
2026-07-25,Restaurante A,Mercearia,Molho de tomate,kg,27.9,9.47,264.21
2026-07-25,Restaurante A,Mercearia,Oleo de soja,L,13.0,7.96,103.48
2026-07-25,Restaurante A,Mercearia,Sal refinado,kg,24.6,2.26,55.60
2026-07-25,Restaurante B,Bebidas,Agua mineral 500ml,un,13,1.85,24.05
2026-07-25,Restaurante B,Bebidas,Cerveja long neck,un,10,4.77,47.70
2026-07-25,Restaurante B,Bebidas,Refrigerante 2L,un,24,9.22,221.28
2026-07-25,Restaurante B,Carnes,Acem,kg,5.9,35.51,209.51
2026-07-25,Restaurante B,Carnes,Bacon em cubos,kg,7.4,39.02,288.75
2026-07-25,Restaurante B,Carnes,Contrafile,kg,11.0,52.96,582.56
2026-07-25,Restaurante B,Carnes,Coxa e sobrecoxa,kg,10.0,13.85,138.50
2026-07-25,Restaurante B,Carnes,File de frango,kg,11.2,22.01,246.51
2026-07-25,Restaurante B,Carnes,Linguica toscana,kg,5.2,27.65,143.78
2026-07-25,Restaurante B,Descartaveis,Guardanapo pacote,un,9,5.02,45.18
2026-07-25,Restaurante B,Hortifruti,Alface crespa,un,28,3.95,110.60
2026-07-25,Restaurante B,Hortifruti,Batata,kg,9.3,5.72,53.20
2026-07-25,Restaurante B,Hortifruti,Cebola,kg,10.4,4.83,50.23
2026-07-25,Restaurante B,Hortifruti,Cenoura,kg,7.8,5.29,41.26
2026-07-25,Restaurante B,Hortifruti,Tomate,kg,10.9,8.59,93.63
2026-07-25,Restaurante B,Laticinios,Creme de leite,L,4.2,14.66,61.57
2026-07-25,Restaurante B,Laticinios,Leite integral,L,3.8,6.01,22.84
2026-07-25,Restaurante B,Laticinios,Manteiga,kg,3.0,57.24,171.72
2026-07-25,Restaurante B,Laticinios,Ovos,dz,17,14.41,244.97
2026-07-25,Restaurante B,Laticinios,Queijo mussarela,kg,10.1,47.96,484.40
2026-07-25,Restaurante B,Laticinios,Queijo prato,kg,4.1,46.27,189.71
2026-07-25,Restaurante B,Laticinios,Requeijao,kg,7.4,32.03,237.02
2026-07-25,Restaurante B,Limpeza,Desinfetante 5L,un,22,22.60,497.20
2026-07-25,Restaurante B,Limpeza,Detergente 5L,un,14,23.78,332.92
2026-07-25,Restaurante B,Limpeza,Saco de lixo 100L,un,9,38.06,342.54
2026-07-25,Restaurante B,Mercearia,Acucar refinado,kg,10.5,4.94,51.87
2026-07-25,Restaurante B,Mercearia,Arroz branco tipo 1,kg,6.4,6.89,44.10
2026-07-25,Restaurante B,Mercearia,Azeite de oliva,L,3.6,47.07,169.45
2026-07-25,Restaurante B,Mercearia,Farinha de trigo,kg,3.2,5.22,16.70
2026-07-25,Restaurante B,Mercearia,Massa seca,kg,9.2,8.87,81.60
2026-07-25,Restaurante B,Mercearia,Molho de tomate,kg,5.7,10.44,59.51
2026-07-25,Restaurante B,Mercearia,Sal refinado,kg,10.8,2.60,28.08
2026-07-25,Restaurante B,Padaria,Pao frances,kg,3.0,16.42,49.26
2026-07-25,Restaurante C,Bebidas,Agua mineral 500ml,un,38,1.67,63.46
2026-07-25,Restaurante C,Carnes,Acem,kg,13.0,32.63,424.19
2026-07-25,Restaurante C,Carnes,Bacon em cubos,kg,8.8,35.98,316.62
2026-07-25,Restaurante C,Carnes,Contrafile,kg,13.5,50.26,678.51
2026-07-25,Restaurante C,Carnes,Coxa e sobrecoxa,kg,13.6,12.99,176.66
2026-07-25,Restaurante C,Carnes,File de frango,kg,15.9,19.57,311.16
2026-07-25,Restaurante C,Carnes,Linguica toscana,kg,13.3,25.37,337.42
2026-07-25,Restaurante C,Hortifruti,Alface crespa,un,18,3.72,66.96
2026-07-25,Restaurante C,Hortifruti,Alho,kg,9.6,34.86,334.66
2026-07-25,Restaurante C,Hortifruti,Batata,kg,17.3,5.03,87.02
2026-07-25,Restaurante C,Hortifruti,Cenoura,kg,8.7,5.00,43.50
2026-07-25,Restaurante C,Hortifruti,Tomate,kg,17.9,8.62,154.30
2026-07-25,Restaurante C,Laticinios,Creme de leite,L,8.6,13.68,117.65
2026-07-25,Restaurante C,Laticinios,Leite integral,L,5.2,5.71,29.69
2026-07-25,Restaurante C,Laticinios,Manteiga,kg,15.0,52.75,791.25
2026-07-25,Restaurante C,Laticinios,Queijo mussarela,kg,11.2,43.83,490.90
2026-07-25,Restaurante C,Laticinios,Queijo prato,kg,5.5,41.38,227.59
2026-07-25,Restaurante C,Laticinios,Requeijao,kg,11.2,30.12,337.34
2026-07-25,Restaurante C,Limpeza,Desinfetante 5L,un,31,20.31,629.61
2026-07-25,Restaurante C,Limpeza,Detergente 5L,un,28,23.73,664.44
2026-07-25,Restaurante C,Limpeza,Saco de lixo 100L,un,20,33.22,664.40
2026-07-25,Restaurante C,Mercearia,Acucar refinado,kg,17.1,4.93,84.30
2026-07-25,Restaurante C,Mercearia,Arroz branco tipo 1,kg,17.9,6.26,112.05
